index                     province/state            country                   latitude                  longitude                 date                      loc_id                    key                       confirmed                 deaths                    recovered                 
78                      not defined             albania                       41.1533                       20.1683                 2020-01-23              1                       
79                      not defined             albania                       41.1533                       20.1683                 2020-01-24              1                       
80                      not defined             albania                       41.1533                       20.1683                 2020-01-25              1                       
81                      not defined             albania                       41.1533                       20.1683                 2020-01-26              1                       
82                      not defined             albania                       41.1533                       20.1683                 2020-01-27              1                       
83                      not defined             albania                       41.1533                       20.1683                 2020-01-28              1                       
84                      not defined             albania                       41.1533                       20.1683                 2020-01-29              1                       
85                      not defined             albania                       41.1533                       20.1683                 2020-01-30              1                       
86                      not defined             albania                       41.1533                       20.1683                 2020-01-31              1                       
87                      not defined             albania                       41.1533                       20.1683                 2020-02-01              1                       
88                      not defined             albania                       41.1533                       20.1683                 2020-02-02              1                       
89                      not defined             albania                       41.1533                       20.1683                 2020-02-03              1                       
90                      not defined             albania                       41.1533                       20.1683                 2020-02-04              1                       
91                      not defined             albania                       41.1533                       20.1683                 2020-02-05              1                       
92                      not defined             albania                       41.1533                       20.1683                 2020-02-06              1                       
93                      not defined             albania                       41.1533                       20.1683                 2020-02-07              1                       
94                      not defined             albania                       41.1533                       20.1683                 2020-02-08              1                       
95                      not defined             albania                       41.1533                       20.1683                 2020-02-09              1                       
96                      not defined             albania                       41.1533                       20.1683                 2020-02-10              1                       
97                      not defined             albania                       41.1533                       20.1683                 2020-02-11              1                       
98                      not defined             albania                       41.1533                       20.1683                 2020-02-12              1                       
99                      not defined             albania                       41.1533                       20.1683                 2020-02-13              1                       
100                     not defined             albania                       41.1533                       20.1683                 2020-02-14              1                       
101                     not defined             albania                       41.1533                       20.1683                 2020-02-15              1                       
102                     not defined             albania                       41.1533                       20.1683                 2020-02-16              1                       
103                     not defined             albania                       41.1533                       20.1683                 2020-02-17              1                       
104                     not defined             albania                       41.1533                       20.1683                 2020-02-18              1                       
105                     not defined             albania                       41.1533                       20.1683                 2020-02-19              1                       
106                     not defined             albania                       41.1533                       20.1683                 2020-02-20              1                       
107                     not defined             albania                       41.1533                       20.1683                 2020-02-21              1                       
108                     not defined             albania                       41.1533                       20.1683                 2020-02-22              1                       
109                     not defined             albania                       41.1533                       20.1683                 2020-02-23              1                       
110                     not defined             albania                       41.1533                       20.1683                 2020-02-24              1                       
111                     not defined             albania                       41.1533                       20.1683                 2020-02-25              1                       
112                     not defined             albania                       41.1533                       20.1683                 2020-02-26              1                       
113                     not defined             albania                       41.1533                       20.1683                 2020-02-27              1                       
114                     not defined             albania                       41.1533                       20.1683                 2020-02-28              1                       
115                     not defined             albania                       41.1533                       20.1683                 2020-02-29              1                       
116                     not defined             albania                       41.1533                       20.1683                 2020-03-01              1                       
117                     not defined             albania                       41.1533                       20.1683                 2020-03-02              1                       
118                     not defined             albania                       41.1533                       20.1683                 2020-03-03              1                       
119                     not defined             albania                       41.1533                       20.1683                 2020-03-04              1                       
120                     not defined             albania                       41.1533                       20.1683                 2020-03-05              1                       
121                     not defined             albania                       41.1533                       20.1683                 2020-03-06              1                       
122                     not defined             albania                       41.1533                       20.1683                 2020-03-07              1                       
123                     not defined             albania                       41.1533                       20.1683                 2020-03-08              1                       
124                     not defined             albania                       41.1533                       20.1683                 2020-03-09              1                       
125                     not defined             albania                       41.1533                       20.1683                 2020-03-10              1                       
126                     not defined             albania                       41.1533                       20.1683                 2020-03-11              1                       
127                     not defined             albania                       41.1533                       20.1683                 2020-03-12              1                       
128                     not defined             albania                       41.1533                       20.1683                 2020-03-13              1                       
129                     not defined             albania                       41.1533                       20.1683                 2020-03-14              1                       
130                     not defined             albania                       41.1533                       20.1683                 2020-03-15              1                       
131                     not defined             albania                       41.1533                       20.1683                 2020-03-16              1                       
132                     not defined             albania                       41.1533                       20.1683                 2020-03-17              1                       
133                     not defined             albania                       41.1533                       20.1683                 2020-03-18              1                       
134                     not defined             albania                       41.1533                       20.1683                 2020-03-19              1                       
135                     not defined             albania                       41.1533                       20.1683                 2020-03-20              1                       
136                     not defined             albania                       41.1533                       20.1683                 2020-03-21              1                       
137                     not defined             albania                       41.1533                       20.1683                 2020-03-22              1                       
138                     not defined             albania                       41.1533                       20.1683                 2020-03-23              1                       
139                     not defined             albania                       41.1533                       20.1683                 2020-03-24              1                       
140                     not defined             albania                       41.1533                       20.1683                 2020-03-25              1                       
141                     not defined             albania                       41.1533                       20.1683                 2020-03-26              1                       
142                     not defined             albania                       41.1533                       20.1683                 2020-03-27              1                       
143                     not defined             albania                       41.1533                       20.1683                 2020-03-28              1                       
144                     not defined             albania                       41.1533                       20.1683                 2020-03-29              1                       
145                     not defined             albania                       41.1533                       20.1683                 2020-03-30              1                       
146                     not defined             albania                       41.1533                       20.1683                 2020-03-31              1                       
147                     not defined             albania                       41.1533                       20.1683                 2020-04-01              1                       
148                     not defined             albania                       41.1533                       20.1683                 2020-04-02              1                       
149                     not defined             albania                       41.1533                       20.1683                 2020-04-03              1                       
150                     not defined             albania                       41.1533                       20.1683                 2020-04-04              1                       
151                     not defined             albania                       41.1533                       20.1683                 2020-04-05              1                       
152                     not defined             albania                       41.1533                       20.1683                 2020-04-06              1                       
153                     not defined             albania                       41.1533                       20.1683                 2020-04-07              1                       
154                     not defined             algeria                       28.0339                       1.6596                  2020-01-22              2                       
155                     not defined             algeria                       28.0339                       1.6596                  2020-01-23              2                       
156                     not defined             algeria                       28.0339                       1.6596                  2020-01-24              2                       
157                     not defined             algeria                       28.0339                       1.6596                  2020-01-25              2                       
158                     not defined             algeria                       28.0339                       1.6596                  2020-01-26              2                       
159                     not defined             algeria                       28.0339                       1.6596                  2020-01-27              2                       
160                     not defined             algeria                       28.0339                       1.6596                  2020-01-28              2                       
161                     not defined             algeria                       28.0339                       1.6596                  2020-01-29              2                       
162                     not defined             algeria                       28.0339                       1.6596                  2020-01-30              2                       
163                     not defined             algeria                       28.0339                       1.6596                  2020-01-31              2                       
164                     not defined             algeria                       28.0339                       1.6596                  2020-02-01              2                       
165                     not defined             algeria                       28.0339                       1.6596                  2020-02-02              2                       
166                     not defined             algeria                       28.0339                       1.6596                  2020-02-03              2                       
167                     not defined             algeria                       28.0339                       1.6596                  2020-02-04              2                       
168                     not defined             algeria                       28.0339                       1.6596                  2020-02-05              2                       
169                     not defined             algeria                       28.0339                       1.6596                  2020-02-06              2                       
